Aaron,亚伦
Crystal,科瑞斯特尔 (同Krystal)
Daisy,戴茜
Daphne,达芙妮
Darcy,达茜
Debbie,黛比 (Deborah,，Debra的昵称)
Deborah,黛博拉
Debra,黛布拉
Demi,黛米
Diana,黛安娜
Dolores,德洛丽丝
Donna,堂娜
Doris,桃瑞丝
Edith,伊迪丝
Editha,伊迪萨
Elaine,伊莱恩
Eleanor,埃莉诺
Elizabeth,伊丽莎白
Ella,埃拉
Ellen,爱伦
Ellie,艾莉 (Eleanor  Ellen的昵称)
Emerald,艾米瑞达
Emily,艾米丽
Emma,艾玛
Enid,伊妮德
Elsa,埃尔莎 (Elizabeth的昵称)
Erica,埃莉卡 (Eric的女性形式)
Estelle,爱斯特尔
Esther,爱丝特
Eudora,尤杜拉
Eva,伊娃
Eve,伊芙
Fannie,芬妮 (同Frances Fanny)
Fiona,菲奥纳
Frances,弗郎西丝 (Francis的女性形式)
Frederica,弗雷德里卡
Frieda,弗里达
Gina,吉娜 (Angelina,，Regina的昵称)
Gillian,吉莉安 (Juliana的异体)
Gladys,格拉蒂丝 (Claudia的威尔斯形式)
Gloria,格罗瑞娅
Grace,格瑞丝
Greta,格瑞塔 (Margaret的昵称)
Gwendolyn,格温多琳
Hannah,汉娜
Helena,海伦娜
Hellen,海伦 (亦作：Helen)
Hebe,赫柏
Heidi,海蒂 (Adalheid  Adelaide的昵称)
Ingrid,英格丽德
Ishara,爱沙拉
Irene,艾琳
Iris,艾丽丝
Ivy,艾维
Jacqueline,杰奎琳
Jamie,詹米 (James的女性形式)
Jane,简 (John的女性名词)
Janet,珍妮特 (同Jane)
Jean,姬恩 (Jane的苏格兰形式)
Jessica,杰西卡 (Jessee的女子形式)
Jessie,杰西 (Jasmine  Jessica的昵称; Janet的苏格兰形式)
Jennifer,詹妮弗
Jenny,詹妮 (同Jennie,；Jane Jennifer的昵称)
Jill,姬尔 (Gillian的昵称)
Joan,琼 (同Jane,；John的女性形式)
Joanna,乔安娜
Jocelyn,乔斯林
Josephine,约瑟芬
Josie,乔茜(同Josephine)
Joy,乔伊
Joyce,乔伊斯 (Josephine的昵称)
Judith,朱迪丝
Judy,朱蒂 (Judith的昵称)
Julia,朱莉娅
Juliana,朱莉安娜
Julie,朱莉
June,朱恩
Karen,凯琳 (Katherine的丹麦形式)
Karida,卡瑞达
Katherine,凯瑟琳 (同Catherine)
Kate,凯特 (Katherine的昵称)
Kathy,凯西 (Katherine Katherleen的昵称；同Cathy  Kathie)
Katrina,卡特里娜
Kay,凯 (Katherine的昵称；同Kaye)
Kelly,凯莉
Kitty,基蒂 (Catherine的昵称)
Lareina,莱瑞拉
Laura,劳拉 (Lawrence的女性形式)
Lena,莉娜 (Helena的昵称)
Lydia,莉迪娅
Lillian,莉莲 (亦作lilian)
Linda,琳达
Lisa,丽莎 (Elizabeth的别名)
Liz,莉兹 (Elizabeth的昵称)
Lorraine,罗琳
Louisa,路易莎
Louise,路易丝
Lucia,露西娅
Lucy,露茜
Lucine,露西妮
Lulu,露露 (Louise Louisa的昵称)
Lynn,林恩
Maggie,玛姬 (Margaret的昵称)
Mamie,玛米 (Margaret  Mary, 的昵称)
Manda,曼达
Mandy,曼迪 (Amanda Manda Melinda的昵称)
Margaret,玛格丽特
Mariah,玛丽亚 (同Mary)
Martha,玛莎
Mary,玛丽
Matilda,玛蒂尔达
Maureen,莫琳
Mavis,梅维丝
Maxine,玛克辛
May,梅
Mayme,梅米
Megan,梅甘
Melinda,梅琳达
Melissa,梅利莎
Melody,美洛蒂
Mercedes,默西迪丝
Meredith,梅瑞狄斯
Michelle,米歇尔 (Michael的女性形式)
Milly,米莉 (Camille,，Emily,，Melissa的简称)
Miranda,米兰达
Miriam,米里亚姆
Miya,米娅
Molly,茉莉
Monica,莫尼卡
Nancy,南茜 (Nan的别名)
Natalie,娜塔莉
Natasha,娜塔莎 (亦作natascha))
Nicole,妮可
Nikita,尼基塔
Nina,尼娜 (Anna的昵称)
Olina,奥琳娜
Oprah,奥帕 (同Opera Opie)
Pamela,帕梅拉
Paula,保拉
Pauline,波琳 (同Paula)
Pearl,珀尔
Peggy,帕姬 (Margaret的昵称)
Philomena,菲洛米娜
Phoebe,菲比
Phyllis,菲丽丝
Polly,波莉
Priscilla,普里西拉
Quentina,昆蒂娜 (Quentin的女性形式)
Rachel,雷切尔
Rebecca,丽贝卡
Regina,瑞加娜
Rita,丽塔 (Margaret的昵称)
Rose,罗丝
Roxanne,洛克萨妮
Ruth,露丝
Sabrina,萨布丽娜
Sandra,桑德拉 (Alexandra的昵称)
Samantha,萨曼莎
Sandy,桑迪 (Andra的昵称)
Sarah,莎拉
Selma,塞尔玛
Selina,塞琳娜
Serena,塞丽娜
Sharon,莎伦 (同Sarah)
Sheila,希拉
Shelley,雪莉 (同Sheila Shelby Shirley)
Sherry,雪丽 (同Charlotte Cher Sarah Shirley)
Shirley,雪莉
Silvia,西尔维亚
Sonia,索尼亚
Stacy,丝塔茜 (Anastasia的昵称)
Stella,丝特拉 (Estelle的昵称)
Stephanie,斯蒂芬妮
Sue,苏 (Susan的昵称)
Sunny,萨妮 (Sonia的昵称)
Susan,苏珊
Tamara,塔玛拉
Tammy,苔米 (Tamara的昵称)
Tess,苔丝 (Tessa Teresa的昵称)
Teresa,特莉萨
Tiffany,蒂凡妮
Tina,蒂娜
Tracy,特蕾西
Vanessa,温妮莎
Vicky,维姬 (Victoria的昵称)
Victoria,维多利亚
Vivian,薇薇安
Wanda,旺达
Wendy,温蒂 (Gwendolyn Wanda的昵称)
Winnie,温妮
Yolanda,尤兰达
Yvette,伊薇特 (同Yvonne)
Yvonne,伊温妮
Zoey,佐伊 (同Zoe)
